9811,13757,6543,15143,17029,21380,13078,14643,17790,27609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.060533798767096,57.474676123884606,69.56811743360673,0.0,133276.0,7586.792844891548,0.029096808914729697
4698,6915,3910,11371,16260,17099,9434,11079,15921,15467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.92030684675699,33.173086717100446,34.537690055066896,0.0,112659.5,1345.6925547122955,0.7817825713200901
3324,5825,1631,6290,5912,10303,4946,6262,8830,10264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.775114324820423,13.937020551942197,24.997222782204588,0.0,38312.5,1796.6185210943222,0.14915527288078578
3672,5606,2306,12096,19578,21697,8389,10583,19780,11206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.24118293032287,51.99789918195419,66.67658542796211,0.0,114368.5,1279.1240153312683,0.8783972825350843
7814,11264,1154,8890,15367,17338,6100,13051,58859,24909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.970471835244936,4.806801663678129,5.01696304470074,0.0,375769.0,2452.0,0.7853981633974483
2205,3562,1918,7105,9498,12606,5529,5713,7210,7284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.332035353160247,12.878592876316992,23.87715254273255,0.0,47405.0,1364.1605906486511,0.3201127828795925
5224,6102,2968,6771,9529,11576,5827,6587,8028,11671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.581703784655542,20.727015671253806,32.64295642394084,0.0,65019.5,2529.9952800273895,0.1276480155576367
1379,1844,918,4218,5068,5001,2226,2149,5345,3813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5983405659476495,2.245801016456408,2.337703848316693,0.0,10342.5,553.3208478689194,0.4245035496262822
4644,6841,2779,11745,16479,18715,8579,10821,22512,13933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.1619009220257,49.950508758713625,61.56775138197753,0.0,116495.5,1307.550419330597,0.8562530374299746
621,991,557,1665,2303,2731,1299,1237,1368,1689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.24627572016461,15.42048353909465,21.94687242798354,0.0,11928.0,633.3036034107208,0.37372622685050183
